context	nb sameas	all_pair	ratio
['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']['created-inv', 'directed-inv', 'islocatedin', 'skos:preflabel']['edited-inv', 'wascreatedondate', 'wascreatedonyear']	1	1	1.0
['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']['created-inv', 'directed-inv', 'skos:preflabel']['wascreatedondate', 'wascreatedonyear']	22	35	0.6285714285714286
['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']['directed-inv', 'skos:preflabel']['edited-inv', 'islocatedin', 'wascreatedonyear']	4	4	1.0
['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']['actedin-inv', 'created-inv', 'skos:preflabel']['edited-inv', 'islocatedin', 'wascreatedondate', 'wascreatedonyear']	6	50	0.12
['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']['actedin-inv', 'created-inv', 'directed-inv', 'skos:preflabel', 'wascreatedonyear']['edited-inv', 'islocatedin', 'wascreatedondate']	1	19	0.05263157894736842
['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']['created-inv', 'skos:preflabel']['islocatedin', 'wascreatedonyear']	25	26	0.9615384615384616
['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']['actedin-inv', 'created-inv', 'skos:preflabel']['islocatedin', 'wascreatedonyear']	8	43	0.18604651162790697
['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']['directed-inv', 'skos:preflabel']['wascreatedondate', 'wascreatedonyear']	9	9	1.0
['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']['created-inv', 'skos:preflabel']['edited-inv', 'islocatedin', 'wascreatedondate', 'wascreatedonyear']	20	20	1.0
['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']['actedin-inv', 'directed-inv', 'skos:preflabel', 'wrotemusicfor-inv']['wascreatedonyear']	1	6	0.16666666666666666
['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']['created-inv', 'directed-inv', 'skos:preflabel', 'wrotemusicfor-inv']['islocatedin', 'wascreatedonyear']	3	3	1.0
['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']['created-inv', 'directed-inv', 'skos:preflabel']['wascreatedonyear']	19	25	0.76
['actedin-inv', 'created-inv', 'directed-inv', 'wrotemusicfor-inv']['actedin-inv', 'skos:preflabel']['edited-inv', 'islocatedin', 'wascreatedondate', 'wascreatedonyear']	3	38	0.07894736842105263
